logged_utc,timeframe,bar_time,direction,entry_ref,sl_ref,tp_ref,rr,status,result_R,closed_utc
2026-07-30 12:15:12,15M,2026-07-30 12:05:08,LONG,4137.60,4125.49,4161.83,2.00,LOSS,-1.00,2026-07-30 12:45:00
2026-07-30 13:00:22,1H,2026-07-30 12:50:20,LONG,4133.50,4104.19,4192.11,2.00,LOSS,-1.00,2026-07-31 12:00:00
2026-07-30 13:30:06,15M,2026-07-30 13:20:03,LONG,4131.10,4117.83,4157.64,2.00,WIN,+2.00,2026-07-30 13:30:00
2026-07-30 14:30:18,15M,2026-07-30 14:20:14,LONG,4147.30,4128.81,4184.29,2.00,EXPIRED,0,2026-07-30 22:34:44
2026-07-30 16:00:08,4H,2026-07-30 12:00:00,LONG,4164.60,4103.68,4286.43,2.00,LOSS,-1.00,2026-07-31 12:00:00
2026-07-31 10:00:15,15M,2026-07-31 09:50:01,SHORT,4112.60,4121.48,4094.84,2.00,WIN,+2.00,2026-07-31 13:00:00
2026-07-31 13:45:05,15M,2026-07-31 13:35:03,SHORT,4090.20,4100.70,4069.21,2.00,LOSS,-1.00,2026-07-31 14:45:00
2026-07-31 15:00:13,15M,2026-07-31 14:50:09,SHORT,4100.10,4111.80,4076.70,2.00,LOSS,-1.00,2026-07-31 19:45:00
2026-08-02 23:00:03,1H,2026-08-02 22:49:55,LONG,4120.90,4098.45,4165.80,2.00,LOSS,-1.00,2026-08-03 12:00:00
2026-08-03 00:15:19,15M,2026-08-03 00:05:10,LONG,4132.70,4122.74,4152.63,2.00,LOSS,-1.00,2026-08-03 00:15:00
2026-08-03 09:45:13,15M,2026-08-03 09:34:59,SHORT,4103.10,4112.36,4084.58,2.00,LOSS,-1.00,2026-08-03 09:45:00
2026-08-03 10:00:15,15M,2026-08-03 09:50:11,SHORT,4113.40,4122.63,4094.94,2.00,WIN,+2.00,2026-08-03 13:00:00
2026-08-03 13:30:03,15M,2026-08-03 13:20:00,SHORT,4091.70,4102.38,4070.34,2.00,LOSS,-1.00,2026-08-03 19:00:00
2026-08-03 15:00:11,1H,2026-08-03 14:50:09,SHORT,4090.70,4113.41,4045.28,2.00,LOSS,-1.00,2026-08-03 20:00:00
2026-08-03 20:45:16,15M,2026-08-03 20:35:13,LONG,4113.30,4105.58,4128.74,2.00,LOSS,-1.00,2026-08-03 22:00:00
2026-08-04 00:15:09,15M,2026-08-04 00:04:59,LONG,4115.30,4108.48,4128.94,2.00,LOSS,-1.00,2026-08-04 00:45:00
2026-08-04 02:00:07,15M,2026-08-04 01:50:00,LONG,4112.90,4104.39,4129.91,2.00,EXPIRED,0,2026-08-04 09:05:19
2026-08-04 12:15:13,15M,2026-08-04 12:05:08,LONG,4125.30,4115.02,4145.85,2.00,WIN,+2.00,2026-08-04 13:15:00
2026-08-04 19:00:19,1H,2026-08-04 18:50:13,LONG,4136.90,4114.18,4182.33,2.00,WIN,+2.00,2026-08-05 02:00:00
2026-08-04 19:30:06,15M,2026-08-04 19:20:00,LONG,4141.30,4130.56,4162.78,2.00,LOSS,-1.00,2026-08-04 23:00:00
2026-08-05 07:45:14,15M,2026-08-05 07:35:11,LONG,4222.60,4210.10,4247.61,2.00,LOSS,-1.00,2026-08-05 10:00:00
2026-08-05 10:30:11,15M,2026-08-05 10:20:08,LONG,4216.50,4205.15,4239.19,2.00,WIN,+2.00,2026-08-05 11:15:00
2026-08-05 11:00:17,1H,2026-08-05 10:50:04,LONG,4214.10,4190.79,4260.72,2.00,WIN,+2.00,2026-08-05 12:00:00
2026-08-05 11:45:02,15M,2026-08-05 11:35:00,LONG,4240.30,4228.69,4263.52,2.00,WIN,+2.00,2026-08-05 12:15:00
2026-08-05 13:00:11,15M,2026-08-05 12:50:08,LONG,4253.60,4240.16,4280.48,2.00,WIN,+2.00,2026-08-05 14:00:00
2026-08-05 16:15:17,15M,2026-08-05 16:05:15,LONG,4285.60,4266.12,4324.57,2.00,WIN,+2.00,2026-08-05 18:15:00
2026-08-05 18:45:13,15M,2026-08-05 18:35:10,LONG,4316.00,4299.89,4348.21,2.00,WIN,+2.00,2026-08-06 00:30:00
2026-08-06 06:00:21,1H,2026-08-06 05:50:20,LONG,4321.80,4291.38,4382.64,2.00,LOSS,-1.00,2026-08-06 13:00:00
2026-08-06 14:00:01,1H,2026-08-06 13:49:58,LONG,4322.50,4292.43,4382.65,2.00,LOSS,-1.00,2026-08-06 15:00:00
2026-08-07 06:00:17,15M,2026-08-07 05:50:12,LONG,4334.90,4322.32,4360.05,2.00,WIN,+2.00,2026-08-07 08:30:00
2026-08-07 06:00:21,1H,2026-08-07 05:50:17,LONG,4335.50,4308.12,4390.25,2.00,WIN,+2.00,2026-08-07 12:00:00
2026-08-07 09:00:10,15M,2026-08-07 08:50:07,LONG,4366.10,4352.85,4392.60,2.00,WIN,+2.00,2026-08-07 12:30:00
2026-08-07 13:15:12,15M,2026-08-07 13:05:09,LONG,4409.90,4391.20,4447.31,2.00,LOSS,-1.00,2026-08-07 14:00:00
2026-08-07 14:15:03,15M,2026-08-07 14:05:01,LONG,4392.90,4372.08,4434.54,2.00,EXPIRED,0,2026-08-09 22:30:00
2026-08-07 15:00:15,1H,2026-08-07 14:50:14,LONG,4403.70,4371.50,4468.10,2.00,EXPIRED,0,2026-08-10 22:00:00
2026-08-10 06:45:02,15M,2026-08-10 06:35:00,LONG,4407.20,4396.45,4428.70,2.00,LOSS,-1.00,2026-08-10 10:45:00
2026-08-10 12:00:12,4H,2026-08-10 08:00:00,LONG,4391.40,4340.37,4493.46,2.00,WIN,+2.00,2026-08-11 00:00:00
2026-08-10 15:00:07,15M,2026-08-10 14:50:03,LONG,4406.50,4393.91,4431.67,2.00,WIN,+2.00,2026-08-10 18:30:00
2026-08-10 19:00:09,15M,2026-08-10 18:50:06,LONG,4435.90,4424.52,4458.67,2.00,WIN,+2.00,2026-08-10 22:45:00
2026-08-11 08:00:00,4H,2026-08-11 04:00:00,LONG,4418.10,4362.60,4529.10,2.00,EXPIRED,0,2026-08-18 00:00:00
2026-08-11 11:00:14,1H,2026-08-11 10:50:09,LONG,4440.40,4414.89,4491.43,2.00,WIN,+2.00,2026-08-12 12:00:00
2026-08-11 12:30:04,15M,2026-08-11 12:20:01,LONG,4454.30,4443.23,4476.44,2.00,LOSS,-1.00,2026-08-11 13:45:00
2026-08-11 14:30:18,15M,2026-08-11 14:20:17,LONG,4448.40,4434.86,4475.48,2.00,LOSS,-1.00,2026-08-11 15:30:00
2026-08-12 07:00:02,15M,2026-08-12 06:49:53,LONG,4459.60,4449.54,4479.73,2.00,WIN,+2.00,2026-08-12 09:15:00
2026-08-12 09:45:03,15M,2026-08-12 09:35:00,LONG,4474.30,4464.68,4493.54,2.00,LOSS,-1.00,2026-08-12 12:15:00
2026-08-12 12:45:19,15M,2026-08-12 12:35:17,LONG,4481.90,4465.78,4514.13,2.00,LOSS,-1.00,2026-08-12 16:45:00
2026-08-13 06:00:01,15M,2026-08-13 05:50:00,SHORT,4444.90,4457.56,4419.59,2.00,LOSS,-1.00,2026-08-13 12:30:00
2026-08-13 14:15:07,15M,2026-08-13 14:05:04,SHORT,4431.60,4444.67,4405.47,2.00,LOSS,-1.00,2026-08-13 14:45:00
2026-08-13 15:15:17,15M,2026-08-13 15:05:13,SHORT,4435.20,4450.58,4404.45,2.00,WIN,+2.00,2026-08-13 19:00:00
2026-08-14 06:00:11,15M,2026-08-14 05:50:05,SHORT,4379.20,4390.83,4355.93,2.00,LOSS,-1.00,2026-08-14 06:00:00
2026-08-14 14:30:13,15M,2026-08-14 14:20:09,LONG,4442.90,4430.80,4467.11,2.00,LOSS,-1.00,2026-08-14 18:45:00
2026-08-17 06:00:10,15M,2026-08-17 05:50:00,LONG,4454.00,4442.96,4476.08,2.00,LOSS,-1.00,2026-08-17 12:15:00
2026-08-17 06:00:15,1H,2026-08-17 05:50:07,LONG,4453.90,4432.55,4496.61,2.00,EXPIRED,0,2026-08-18 11:50:12
2026-08-17 13:00:01,15M,2026-08-17 12:49:55,SHORT,4434.50,4444.90,4413.69,2.00,LOSS,-1.00,2026-08-17 13:00:00
2026-08-17 14:15:12,15M,2026-08-17 14:05:09,LONG,4464.70,4451.63,4490.84,2.00,EXPIRED,0,2026-08-17 22:30:00
2026-08-18 06:00:15,Daily,2026-08-18 04:00:00,LONG,4451.90,4341.73,4672.24,2.00,OPEN,,
2026-08-18 08:00:09,4H,2026-08-18 04:00:00,LONG,4455.60,4407.86,4551.08,2.00,LOSS,-1.00,2026-08-18 12:00:00
2026-08-18 14:45:07,15M,2026-08-18 14:35:03,SHORT,4446.20,4459.80,4419.01,2.00,WIN,+2.00,2026-08-18 15:00:00
2026-08-18 15:45:19,15M,2026-08-18 15:35:17,SHORT,4415.10,4431.73,4381.83,2.00,WIN,+2.00,2026-08-18 23:30:00
2026-08-19 06:00:14,15M,2026-08-19 05:50:08,SHORT,4389.10,4399.61,4368.08,2.00,OPEN,,
2026-08-19 06:00:17,1H,2026-08-19 05:50:08,SHORT,4389.10,4411.20,4344.90,2.00,OPEN,,
