logged_utc,timeframe,bar_time,direction,entry_ref,sl_ref,tp_ref,rr,status,result_R,closed_utc
2026-08-04 17:00:10,15M,2026-08-04 16:50:08,SHORT,4150.40,4162.76,4125.69,2.00,LOSS,-1.00,2026-08-04 17:00:00
2026-08-04 17:00:13,1H,2026-08-04 16:50:08,SHORT,4150.40,4172.95,4105.31,2.00,LOSS,-1.00,2026-08-05 02:00:00
2026-08-05 06:00:15,1H,2026-08-05 05:50:12,SHORT,4225.30,4250.35,4175.20,2.00,LOSS,-1.00,2026-08-05 11:00:00
2026-08-05 06:15:18,15M,2026-08-05 06:05:15,SHORT,4223.00,4235.36,4198.28,2.00,LOSS,-1.00,2026-08-05 06:30:00
2026-08-05 10:15:19,15M,2026-08-05 10:05:15,LONG,4211.60,4200.46,4233.87,2.00,WIN,+2.00,2026-08-05 11:15:00
2026-08-05 11:45:08,15M,2026-08-05 11:35:07,SHORT,4240.70,4252.27,4217.56,2.00,LOSS,-1.00,2026-08-05 12:00:00
2026-08-05 13:00:16,1H,2026-08-05 12:50:11,SHORT,4253.10,4279.14,4201.02,2.00,LOSS,-1.00,2026-08-05 14:00:00
2026-08-05 15:00:08,1H,2026-08-05 14:50:07,SHORT,4306.00,4335.36,4247.27,2.00,LOSS,-1.00,2026-08-05 23:00:00
2026-08-05 16:15:12,15M,2026-08-05 16:05:11,LONG,4285.20,4265.67,4324.25,2.00,WIN,+2.00,2026-08-05 18:15:00
2026-08-05 19:45:01,15M,2026-08-05 19:34:57,LONG,4310.10,4296.10,4338.10,2.00,WIN,+2.00,2026-08-05 23:30:00
2026-08-06 07:00:06,15M,2026-08-06 06:50:05,LONG,4313.20,4300.04,4339.52,2.00,WIN,+2.00,2026-08-06 09:00:00
2026-08-06 09:30:01,15M,2026-08-06 09:19:57,SHORT,4341.50,4353.54,4317.43,2.00,WIN,+2.00,2026-08-06 11:45:00
2026-08-06 12:00:07,15M,2026-08-06 11:50:04,LONG,4315.50,4304.35,4337.80,2.00,LOSS,-1.00,2026-08-06 13:00:00
2026-08-06 16:00:15,15M,2026-08-06 15:50:10,LONG,4306.20,4290.42,4337.76,2.00,LOSS,-1.00,2026-08-06 16:00:00
2026-08-07 06:15:21,15M,2026-08-07 06:05:17,SHORT,4342.90,4355.27,4318.16,2.00,LOSS,-1.00,2026-08-07 06:45:00
2026-08-07 11:15:10,15M,2026-08-07 11:05:04,SHORT,4383.20,4395.23,4359.13,2.00,LOSS,-1.00,2026-08-07 12:30:00
2026-08-07 13:00:01,15M,2026-08-07 12:49:58,SHORT,4429.20,4446.37,4394.86,2.00,WIN,+2.00,2026-08-07 14:00:00
2026-08-07 13:00:04,1H,2026-08-07 12:50:01,SHORT,4428.60,4459.29,4367.23,2.00,OPEN,,
2026-08-07 19:15:07,15M,2026-08-07 19:04:59,SHORT,4400.40,4415.16,4370.88,2.00,EXPIRED,0,2026-08-10 06:00:00
2026-08-10 07:00:19,15M,2026-08-10 06:50:11,SHORT,4415.90,4426.85,4394.01,2.00,WIN,+2.00,2026-08-10 11:00:00
2026-08-10 11:30:05,15M,2026-08-10 11:19:59,LONG,4388.90,4379.91,4406.88,2.00,LOSS,-1.00,2026-08-10 13:45:00
2026-08-10 16:15:13,15M,2026-08-10 16:05:10,SHORT,4418.30,4430.23,4394.44,2.00,OPEN,,
